id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin
1,18 - 28 años,Mujer,4,5,Menos de 30€,3,3,1,4.0,2.2,3.0,4.0,4.5,4.0,1.0,0
2,18 - 28 años,Mujer,3,2,Menos de 30€,3,2,4,4.2,3.6,4.0,4.0,3.5,4.333333333333333,4.5,1
3,18 - 28 años,Mujer,1,4,Menos de 30€,5,1,1,1.8,1.6,2.0,2.0,3.0,2.333333333333333,3.0,0
4,18 - 28 años,Hombre,1,5,30 - 60€,2,1,1,2.4,1.0,3.0,5.0,5.0,1.6666666666666667,3.0,0
5,18 - 28 años,Mujer,2,5,Menos de 30€,1,1,1,1.4,1.4,1.5,5.0,5.0,1.6666666666666667,1.0,0
6,18 - 28 años,Mujer,2,4,Menos de 30€,4,3,1,4.2,2.0,3.5,4.0,4.5,4.0,2.5,0
7,18 - 28 años,Hombre,2,4,30 - 60€,3,2,2,1.2,1.2,1.5,2.0,5.0,2.333333333333333,1.5,0
8,18 - 28 años,Mujer,3,5,30 - 60€,5,4,3,2.4,3.0,3.5,5.0,4.0,2.6666666666666665,3.5,1
9,18 - 28 años,Mujer,2,5,Menos de 30€,1,2,1,2.4,2.4,2.5,5.0,5.0,2.0,2.5,0
10,18 - 28 años,Hombre,3,2,30 - 60€,3,2,2,3.2,2.2,1.5,5.0,3.0,3.0,3.5,0
11,18 - 28 años,Mujer,4,2,Menos de 30€,4,4,5,4.0,3.4,3.5,4.0,5.0,4.0,3.0,0
12,18 - 28 años,Mujer,4,2,30 - 60€,2,4,4,2.8,2.8,4.0,3.0,4.0,4.0,2.5,1
13,18 - 28 años,Mujer,4,1,30 - 60€,3,3,3,4.2,4.0,3.0,5.0,5.0,4.666666666666667,5.0,1
14,18 - 28 años,Mujer,4,3,61 - 100€,2,5,4,5.0,4.0,4.5,4.0,5.0,5.0,3.0,1
15,18 - 28 años,Mujer,5,5,Menos de 30€,2,2,1,3.6,3.2,4.0,5.0,5.0,4.0,1.0,1
16,18 - 28 años,Mujer,4,1,Menos de 30€,4,3,4,4.8,3.2,5.0,4.0,4.0,5.0,1.5,1
17,18 - 28 años,Mujer,5,3,101 - 200€,3,3,3,5.0,3.6,3.5,5.0,5.0,3.6666666666666665,5.0,1
18,18 - 28 años,Mujer,5,3,30 - 60€,5,4,4,4.6,2.6,4.5,5.0,5.0,4.0,2.0,0
19,18 - 28 años,Mujer,3,5,30 - 60€,3,5,3,3.4,4.0,4.0,5.0,5.0,3.333333333333333,3.5,0
20,18 - 28 años,Mujer,4,3,Menos de 30€,5,4,5,5.0,4.6,4.5,5.0,5.0,4.666666666666667,4.5,1
21,18 - 28 años,Mujer,3,3,30 - 60€,1,2,2,2.6,1.6,1.0,5.0,3.5,2.333333333333333,1.5,0
22,18 - 28 años,Mujer,2,3,61 - 100€,2,4,2,3.0,2.6,1.5,5.0,3.0,1.3333333333333333,3.5,0
23,18 - 28 años,Mujer,3,5,Menos de 30€,3,2,1,4.2,1.6,3.0,4.0,4.0,3.333333333333333,1.0,1
24,18 - 28 años,Mujer,5,5,Menos de 30€,3,1,2,2.4,2.0,3.0,5.0,5.0,2.6666666666666665,2.0,0
25,56 años o más,Mujer,4,3,61 - 100€,3,4,3,3.6,3.0,3.5,4.0,4.0,3.0,4.0,1
26,45 - 55 años,Mujer,3,4,61 - 100€,2,1,4,2.6,2.4,3.0,4.0,5.0,2.333333333333333,2.5,0
27,18 - 28 años,Hombre,2,4,Menos de 30€,3,3,3,4.2,2.6,3.5,4.0,5.0,3.6666666666666665,2.0,1
28,18 - 28 años,Hombre,2,4,Menos de 30€,3,1,1,1.0,1.0,2.0,3.0,4.5,1.0,1.0,0
29,18 - 28 años,Hombre,3,4,30 - 60€,2,1,2,2.8,2.8,3.5,5.0,4.0,2.333333333333333,2.0,0
30,18 - 28 años,Mujer,3,2,30 - 60€,4,2,2,4.8,2.8,3.5,4.0,5.0,3.6666666666666665,3.0,1
31,18 - 28 años,Mujer,4,3,30 - 60€,1,2,4,4.0,2.8,4.0,4.0,4.5,3.0,3.0,0
32,29 - 44 años,Mujer,4,3,30 - 60€,2,2,2,4.2,2.6,4.5,3.0,3.5,3.6666666666666665,1.5,1
33,18 - 28 años,Mujer,3,2,Menos de 30€,2,3,3,2.6,1.6,2.0,4.0,4.0,2.0,1.5,0
34,18 - 28 años,Hombre,3,2,30 - 60€,2,2,1,1.6,1.8,2.5,4.0,4.0,2.6666666666666665,2.5,0
35,56 años o más,Hombre,4,5,61 - 100€,1,1,1,1.8,2.0,2.0,4.0,3.5,2.0,1.5,0
36,18 - 28 años,Mujer,4,2,61 - 100€,3,5,4,4.4,4.2,3.5,4.0,5.0,3.6666666666666665,5.0,1
37,18 - 28 años,Mujer,2,4,Menos de 30€,4,4,4,4.2,2.4,3.0,5.0,5.0,3.333333333333333,2.0,0
38,56 años o más,Hombre,3,3,61 - 100€,1,1,1,1.4,1.2,1.0,5.0,1.5,1.0,1.0,0
39,18 - 28 años,Hombre,3,5,Menos de 30€,2,3,2,2.6,1.4,3.5,5.0,5.0,3.6666666666666665,1.0,1
40,18 - 28 años,Mujer,1,3,Menos de 30€,4,2,3,4.0,2.0,3.5,4.0,5.0,2.6666666666666665,2.5,0
41,56 años o más,Mujer,2,5,Menos de 30€,1,2,1,1.4,2.4,2.0,5.0,4.0,1.0,3.0,0
42,45 - 55 años,Hombre,1,5,61 - 100€,1,1,1,1.0,1.4,1.0,1.0,3.5,1.0,1.5,0
43,18 - 28 años,Mujer,5,2,61 - 100€,2,4,4,4.2,4.2,4.0,5.0,4.0,3.6666666666666665,4.5,1
44,18 - 28 años,Mujer,3,4,30 - 60€,3,3,3,4.2,3.6,3.0,5.0,5.0,3.333333333333333,4.5,1
45,18 - 28 años,Mujer,3,1,30 - 60€,1,4,4,4.2,3.4,3.5,4.0,5.0,4.333333333333333,1.0,1
46,18 - 28 años,Mujer,5,3,61 - 100€,4,4,4,4.0,2.0,4.5,2.0,4.0,4.666666666666667,1.0,1
47,56 años o más,Mujer,3,5,Menos de 30€,3,3,2,1.8,1.4,1.0,5.0,3.5,1.0,1.0,0
48,18 - 28 años,Mujer,4,4,Menos de 30€,4,3,1,2.4,2.2,1.0,5.0,5.0,1.3333333333333333,1.0,0
49,56 años o más,Hombre,2,5,30 - 60€,3,2,5,1.8,2.6,4.0,3.0,4.5,2.6666666666666665,1.0,0
50,29 - 44 años,Mujer,3,2,Menos de 30€,2,2,3,4.8,2.6,3.5,4.0,5.0,4.0,4.0,1
51,45 - 55 años,Mujer,3,1,30 - 60€,4,1,5,3.8,4.2,3.0,5.0,5.0,4.333333333333333,3.0,0
52,18 - 28 años,Hombre,3,5,Menos de 30€,2,1,2,3.6,2.6,3.0,3.0,2.5,3.0,3.0,1
53,18 - 28 años,Hombre,3,3,30 - 60€,4,2,1,1.8,1.0,3.0,5.0,5.0,3.0,1.0,0
54,18 - 28 años,Mujer,4,2,61 - 100€,5,3,1,4.6,4.0,4.5,4.0,5.0,4.0,3.0,1
55,18 - 28 años,Mujer,5,4,61 - 100€,5,5,5,5.0,4.2,4.0,5.0,5.0,5.0,3.5,1
56,18 - 28 años,Mujer,3,5,61 - 100€,2,3,2,3.8,3.2,4.5,5.0,5.0,3.6666666666666665,4.0,0
57,18 - 28 años,Mujer,3,4,Menos de 30€,2,2,1,1.2,1.0,1.0,5.0,5.0,1.3333333333333333,1.0,0
58,18 - 28 años,Mujer,2,5,Menos de 30€,2,1,1,3.0,2.0,3.5,5.0,5.0,2.0,3.0,0
59,18 - 28 años,Mujer,3,1,61 - 100€,3,1,3,4.2,3.0,3.0,5.0,5.0,4.333333333333333,5.0,1
60,18 - 28 años,Mujer,2,1,30 - 60€,5,3,1,3.4,3.6,2.0,3.0,3.5,3.333333333333333,3.0,0
61,18 - 28 años,Mujer,4,4,30 - 60€,5,4,3,4.8,3.6,3.5,4.0,4.5,4.0,3.0,1
62,18 - 28 años,Hombre,2,5,61 - 100€,4,1,1,2.0,1.4,3.5,3.0,4.5,3.333333333333333,1.0,0
63,18 - 28 años,Hombre,2,4,30 - 60€,4,4,2,3.6,1.4,3.5,4.0,5.0,3.0,1.0,0
64,18 - 28 años,Mujer,4,3,61 - 100€,5,5,3,5.0,4.4,4.0,5.0,5.0,4.0,5.0,0
65,18 - 28 años,Hombre,2,2,Menos de 30€,2,1,1,2.4,2.0,3.0,4.0,4.5,2.333333333333333,2.0,0
66,29 - 44 años,Hombre,3,2,30 - 60€,1,2,1,2.2,2.0,1.5,5.0,4.0,1.6666666666666667,2.0,0
67,18 - 28 años,Mujer,3,4,30 - 60€,4,3,3,4.4,3.6,4.5,5.0,4.5,3.6666666666666665,3.0,0
68,45 - 55 años,Mujer,3,5,Menos de 30€,1,2,1,1.0,1.6,1.0,5.0,3.5,1.0,1.0,0
69,56 años o más,Mujer,2,2,101 - 200€,1,2,1,1.8,3.0,4.0,4.0,3.0,3.0,4.0,0
70,18 - 28 años,Mujer,3,4,30 - 60€,3,5,5,5.0,4.4,5.0,5.0,5.0,4.333333333333333,2.5,1
71,45 - 55 años,Hombre,2,5,Menos de 30€,2,1,1,1.0,1.0,2.0,5.0,4.0,1.0,1.0,0
72,18 - 28 años,Mujer,5,3,30 - 60€,5,4,4,4.4,4.0,3.0,5.0,5.0,4.0,3.0,1
73,18 - 28 años,Mujer,3,4,61 - 100€,4,4,4,4.0,2.8,4.0,4.0,3.0,3.6666666666666665,2.0,1
74,56 años o más,Mujer,3,5,30 - 60€,1,1,1,1.2,1.6,1.0,5.0,5.0,1.3333333333333333,1.5,0
75,56 años o más,Mujer,5,3,30 - 60€,1,2,2,2.6,3.4,3.0,1.0,1.0,2.333333333333333,2.0,1
76,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,1.0,1.0,1.0,3.0,2.0,1.0,1.5,0
77,29 - 44 años,Hombre,5,5,30 - 60€,2,2,3,3.4,3.6,4.0,4.0,2.5,3.6666666666666665,4.0,1
78,18 - 28 años,Hombre,3,3,Más de 200€,4,3,3,4.2,3.0,3.5,5.0,4.5,4.333333333333333,4.0,1
79,56 años o más,Hombre,5,5,Menos de 30€,1,1,1,1.0,1.6,1.0,5.0,4.0,1.0,1.0,0
80,45 - 55 años,Mujer,4,5,Menos de 30€,2,2,1,1.4,1.2,1.0,5.0,5.0,1.6666666666666667,1.0,0
81,18 - 28 años,Mujer,4,4,30 - 60€,5,4,4,5.0,3.8,4.5,5.0,4.5,4.0,4.5,1
82,18 - 28 años,Hombre,3,4,30 - 60€,4,4,2,4.4,3.8,4.0,5.0,5.0,4.0,4.5,1
83,56 años o más,Hombre,3,1,30 - 60€,2,1,1,1.4,1.4,2.5,4.0,3.5,2.0,2.0,0
84,18 - 28 años,Hombre,1,4,Menos de 30€,3,1,1,1.0,1.4,1.0,4.0,4.0,1.6666666666666667,1.0,0
85,56 años o más,Hombre,3,5,Más de 200€,1,1,1,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0
86,18 - 28 años,Mujer,5,5,30 - 60€,4,4,3,5.0,2.8,4.0,5.0,5.0,4.333333333333333,3.0,1
87,18 - 28 años,Mujer,2,2,Menos de 30€,3,3,2,4.6,4.0,2.0,5.0,5.0,5.0,2.0,1
88,18 - 28 años,Mujer,2,5,30 - 60€,3,2,2,3.2,2.8,4.0,4.0,5.0,4.0,2.5,1
89,18 - 28 años,Hombre,2,1,Menos de 30€,1,1,2,2.0,2.4,3.0,5.0,5.0,2.6666666666666665,1.0,0
90,18 - 28 años,Mujer,4,2,30 - 60€,4,5,5,4.8,4.6,3.0,5.0,5.0,3.6666666666666665,4.0,1
91,18 - 28 años,Mujer,5,4,101 - 200€,4,4,5,4.8,4.4,3.5,4.0,5.0,3.6666666666666665,4.0,1
92,18 - 28 años,Mujer,3,2,30 - 60€,3,4,4,4.6,2.2,3.0,5.0,5.0,2.6666666666666665,1.5,0
93,18 - 28 años,Mujer,3,2,30 - 60€,4,4,5,5.0,4.4,3.0,4.0,5.0,4.0,4.0,1
94,18 - 28 años,Mujer,4,4,30 - 60€,4,2,2,4.0,2.8,3.5,4.0,5.0,4.0,2.0,1
95,45 - 55 años,Hombre,2,3,61 - 100€,1,1,1,1.0,1.4,1.0,4.0,1.5,2.333333333333333,1.0,0
96,18 - 28 años,Mujer,3,2,30 - 60€,2,2,2,3.8,3.0,2.5,5.0,5.0,2.333333333333333,4.0,1
97,18 - 28 años,Hombre,2,5,Menos de 30€,3,2,2,1.8,1.4,2.0,5.0,5.0,1.0,1.0,0
98,18 - 28 años,Mujer,3,5,Menos de 30€,4,3,3,4.2,3.0,3.5,5.0,5.0,3.0,1.5,0
99,56 años o más,Mujer,4,2,61 - 100€,1,2,2,2.8,1.8,1.5,5.0,5.0,2.0,2.0,0
100,56 años o más,Hombre,2,5,30 - 60€,2,1,1,1.6,1.2,1.0,5.0,3.5,2.0,3.0,0
101,29 - 44 años,Mujer,5,1,61 - 100€,1,1,1,4.0,3.0,1.5,5.0,4.5,3.333333333333333,2.0,1
102,18 - 28 años,Mujer,3,4,30 - 60€,4,3,3,3.2,3.6,2.5,5.0,5.0,3.6666666666666665,4.5,0
103,18 - 28 años,Hombre,4,5,Menos de 30€,3,4,5,1.6,1.8,3.5,5.0,4.5,2.333333333333333,1.0,0
104,18 - 28 años,Mujer,5,4,101 - 200€,3,5,5,5.0,4.2,3.5,5.0,5.0,4.0,4.5,1
105,18 - 28 años,Mujer,4,4,30 - 60€,3,5,5,5.0,4.6,4.5,5.0,5.0,5.0,1.5,1
106,18 - 28 años,Mujer,4,3,30 - 60€,4,2,1,3.6,3.0,2.5,4.0,4.0,3.0,3.0,1
107,56 años o más,Hombre,2,1,30 - 60€,1,1,1,1.2,1.0,1.0,1.0,3.0,1.0,3.0,0
108,18 - 28 años,Mujer,3,3,61 - 100€,2,4,2,4.0,2.8,4.0,4.0,5.0,3.6666666666666665,3.0,1
109,56 años o más,Mujer,1,5,Menos de 30€,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,1.0,0
110,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,1.0,0
111,18 - 28 años,Hombre,4,1,101 - 200€,2,1,1,3.2,2.6,1.0,5.0,4.0,2.6666666666666665,2.5,0
112,18 - 28 años,Hombre,1,5,Menos de 30€,4,2,1,1.8,1.6,2.5,5.0,5.0,1.6666666666666667,1.5,0
113,18 - 28 años,Mujer,3,5,61 - 100€,4,4,4,3.6,3.8,2.0,5.0,4.0,3.6666666666666665,2.5,0
114,18 - 28 años,Mujer,3,4,Menos de 30€,4,3,2,4.2,3.2,3.5,5.0,5.0,4.0,3.0,1
115,45 - 55 años,Hombre,1,1,Menos de 30€,1,1,1,1.0,1.0,2.0,5.0,5.0,1.0,3.0,0
116,18 - 28 años,Mujer,3,3,61 - 100€,2,4,4,4.2,3.6,3.5,4.0,4.0,3.333333333333333,2.0,0
117,18 - 28 años,Mujer,3,3,30 - 60€,3,3,2,2.6,2.8,3.5,4.0,4.0,3.333333333333333,2.5,1
118,29 - 44 años,Mujer,5,1,30 - 60€,4,2,2,3.8,4.6,5.0,4.0,4.5,4.0,3.5,0
119,18 - 28 años,Hombre,2,4,Menos de 30€,4,1,2,3.2,2.8,3.0,3.0,3.0,3.333333333333333,3.0,0
120,18 - 28 años,Mujer,4,1,30 - 60€,3,4,3,5.0,4.0,4.5,3.0,5.0,4.666666666666667,4.0,1
121,18 - 28 años,Mujer,2,3,Menos de 30€,2,4,4,3.8,1.8,3.5,5.0,5.0,2.6666666666666665,3.5,0
122,18 - 28 años,Hombre,3,3,Menos de 30€,4,5,5,4.8,4.4,4.5,5.0,5.0,3.333333333333333,4.0,1
123,18 - 28 años,Mujer,3,5,30 - 60€,4,3,4,5.0,5.0,3.5,5.0,5.0,4.0,5.0,1
124,18 - 28 años,Hombre,2,4,Menos de 30€,3,1,1,3.8,3.6,2.5,5.0,5.0,3.6666666666666665,2.5,0
125,18 - 28 años,Mujer,3,4,Menos de 30€,4,4,3,4.6,4.2,4.0,4.0,5.0,3.6666666666666665,2.5,1
126,18 - 28 años,Mujer,3,4,Menos de 30€,4,4,4,4.6,2.8,2.5,5.0,5.0,3.333333333333333,3.5,0
127,29 - 44 años,Hombre,5,4,30 - 60€,2,4,4,3.8,1.8,3.5,5.0,5.0,4.0,2.5,0
128,56 años o más,Mujer,5,5,30 - 60€,1,1,1,1.0,1.6,3.0,5.0,5.0,1.6666666666666667,1.0,0
129,45 - 55 años,Mujer,5,4,101 - 200€,2,1,1,2.4,3.0,3.5,5.0,4.0,3.333333333333333,3.0,0
130,45 - 55 años,Hombre,3,1,30 - 60€,3,2,1,2.4,2.2,1.0,2.0,3.0,2.333333333333333,2.0,1
131,18 - 28 años,Hombre,1,5,Menos de 30€,3,1,2,1.8,2.4,1.5,2.0,2.0,2.0,1.0,0
132,29 - 44 años,Mujer,4,3,101 - 200€,2,3,4,3.6,3.6,4.0,4.0,5.0,3.6666666666666665,4.0,1
133,56 años o más,Hombre,1,5,Menos de 30€,2,1,1,2.2,2.0,1.0,5.0,5.0,2.333333333333333,2.0,0
134,45 - 55 años,Mujer,3,4,30 - 60€,3,4,2,3.4,3.4,3.5,4.0,4.0,3.0,2.5,1
135,18 - 28 años,Mujer,5,2,61 - 100€,5,5,5,4.6,4.8,4.5,3.0,5.0,4.0,4.0,1
136,56 años o más,Mujer,5,5,30 - 60€,1,1,2,1.0,1.2,1.0,5.0,3.0,1.0,1.0,0
137,45 - 55 años,Mujer,3,2,30 - 60€,1,3,4,4.4,2.2,1.0,5.0,2.5,3.333333333333333,1.0,1
138,56 años o más,Mujer,3,5,101 - 200€,1,4,2,4.0,3.4,2.5,4.0,3.0,2.333333333333333,1.0,1
139,45 - 55 años,Mujer,5,5,30 - 60€,1,2,3,2.2,2.4,3.5,5.0,5.0,3.0,1.0,0
140,45 - 55 años,Mujer,2,5,Menos de 30€,3,1,1,1.4,1.2,1.0,5.0,5.0,1.0,1.0,0
141,45 - 55 años,Mujer,3,1,30 - 60€,1,1,1,2.0,3.6,3.0,5.0,5.0,3.0,3.5,0
142,45 - 55 años,Hombre,5,3,30 - 60€,1,2,2,2.0,1.6,1.0,3.0,2.0,2.0,2.0,1
143,45 - 55 años,Mujer,4,3,Menos de 30€,2,4,1,4.4,2.2,4.0,5.0,5.0,4.0,4.0,0
144,45 - 55 años,Hombre,3,3,30 - 60€,2,1,1,2.2,2.4,1.0,1.0,4.0,2.0,1.0,0
145,45 - 55 años,Mujer,3,4,61 - 100€,1,1,1,1.4,2.2,2.5,5.0,3.5,2.333333333333333,2.5,0
146,45 - 55 años,Mujer,3,5,Menos de 30€,2,2,2,2.2,1.8,1.5,5.0,4.5,2.333333333333333,1.5,0
147,18 - 28 años,Mujer,2,3,Menos de 30€,2,1,1,2.4,1.2,1.0,1.0,5.0,2.333333333333333,1.0,0
148,56 años o más,Mujer,5,5,30 - 60€,2,4,1,3.8,1.8,2.5,5.0,4.5,2.333333333333333,1.0,0
149,45 - 55 años,Mujer,4,4,61 - 100€,2,3,1,1.8,1.2,1.5,5.0,4.0,1.3333333333333333,1.5,0
150,45 - 55 años,Mujer,5,3,Más de 200€,2,3,5,4.6,3.6,3.5,4.0,4.0,3.0,3.5,1
151,45 - 55 años,Mujer,5,5,61 - 100€,5,4,2,4.4,1.2,4.0,5.0,5.0,3.0,1.0,0
152,45 - 55 años,Hombre,5,3,Más de 200€,2,3,2,1.4,3.0,2.0,2.0,1.5,2.0,1.5,1
153,45 - 55 años,Mujer,5,5,101 - 200€,3,5,5,4.4,3.6,2.0,5.0,5.0,4.0,4.0,1
154,56 años o más,Mujer,5,3,61 - 100€,1,2,1,1.4,2.2,1.0,5.0,5.0,1.3333333333333333,1.0,0
155,45 - 55 años,Mujer,3,5,30 - 60€,1,2,2,3.0,2.0,1.5,5.0,3.0,2.6666666666666665,2.0,0
156,29 - 44 años,Mujer,3,2,61 - 100€,2,4,1,4.2,2.4,2.5,5.0,5.0,3.333333333333333,1.0,0
157,29 - 44 años,Mujer,4,3,30 - 60€,4,2,2,2.8,3.4,3.0,2.0,4.5,3.333333333333333,3.0,0
